Round,Pick,Player,Position,Team,League Member,Comments,,,,,,,,,,,,,,,
9,87,Jordan Addison,WR,MIN,Joe,,,,,,,,,,,,,,,,
9,88,Tank Dell,WR,HOU,Scott,,,,,,,,,,,,,,,,
9,89,Justin Jefferson,WR,MIN,Greg,,,,,,,,,,,,,,,,
9,90,Jerome Ford,RB,CLE,Stefan,,,,,,,,,,,,,,,,
10,91,Jameson Williams,WR,DET,Stefan,"""So Stefan this is the most prepared you've ever been and you're prepare for Najee Harris?"" Kyle",,,,,,,,,,,,,,,
10,92,Christian Watson,WR,GB,Greg,"""I wasn't happy with where I was drafting. But when you win the ship you don't get to pick where you draft"" Stefan",,,,,,,,,,,,,,,
10,93,Keon Coleman,WR,BUF,Scott,"""Oh fuck I traded my tenth"" Kyle",,,,,,,,,,,,,,,
10,94,Dontayvion Wicks,WR,GB,Josh,,,,,,,,,,,,,,,,
10,95,Blake Corum,RB,LAR,Witte,"[Witte taking heat for being in Canada] ""I'm so fucked up"" Colin; ""He just called that boy a pedaphile"" Joe about Drake",,,,,,,,,,,,,,,
10,96,Sam LaPorta,TE,DET,Elbe,,,,,,,,,,,,,,,,
10,97,JK Dobbins,RB,LAC,Zach,,,,,,,,,,,,,,,,
10,98,Trey McBride,TE,ARI,Colin,,,,,,,,,,,,,,,,
10,99,Courtland Sutton,WR,DEN,Josh,"""Terrible pick. Denver boy"" Kyle",,,,,,,,,,,,,,,
10,100,De'Von Achane,RB,MIA,Zach,,,,,,,,,,,,,,,,
11,101,Zach Charbonnet,RB,SEA,Kyle,"""Oh hell yeah, let's go"" Kyle, realizing its his pick",,,,,,,,,,,,,,,
11,102,DeAndre Hopkins,WR,TEN,Joe,"""Dallas Goedert….no wait shut up, that'd be my third TE"" Joe",,,,,,,,,,,,,,,
11,103,Hollywood Brown,WR,KC,Colin,"""You picked two injured mother fuckers"" Joe ""You took the broke dick boys"" Kyle",,,,,,,,,,,,,,,
11,104,Trey Benson,RB,ARI,Kyle,"""God damnnit"" Elbe",,,,,,,,,,,,,,,
11,105,Mike Williams,WR,NYJ,Elbe,"""These are the most important picks of the draft"" Greg ""Ekeler could go here"" Colin ""Ekeler went third oveall last year"" Greg; ""Worst pick of the draft"" Colin; ""Not a bad pick Elbe. You have a PPR QB and some good WRs"" Stefan",,,,,,,,,,,,,,,
11,106,MarShawn Lloyd,RB,GB,Witte,"""I think I got a good value. [X] and Marquise Brown."" Colin ""Sure"" Stefan",,,,,,,,,,,,,,,
11,107,Dalton Kincaid,TE,BUF,Joe,,,,,,,,,,,,,,,,
11,108,Rico Dowdle,RB,DAL,Scott,,,,,,,,,,,,,,,,
11,109,Jayden Daniels,QB,WAS,Josh,"""Why are you people taking backup QBs now?"" Kyle, pissed because he hasn’t taken a QB",,,,,,,,,,,,,,,
11,110,Nico Collins,WR,HOU,Stefan,"""This draft board is really hard to follow. Can you put a counter on how many times I've said that?"" Kyle, after people still confused about whose pick it is and Stefan's shitting draft board. ""Kyle, who's your QB and TE"" Greg. ""TBD"" Kyle",,,,,,,,,,,,,,,
12,111,Adonai Mitchell,WR,IND,Stefan,"""Its [some hebrew pronounciation]"" Colin about Adonai; ""Its WR3 on an Indeeana team"" Joe",,,,,,,,,,,,,,,
12,112,Khalil Shakir,WR,BUF,Greg,"""Broke dick and dusty bones"" Joe about Colin's team; ""Scott's team is terrible"" Witte to Kyle",,,,,,,,,,,,,,,
12,113,Ja'Lynn Polk,WR,NE,Scott,"""Is Tyjae Spears still there"" Colin [SHOT]",,,,,,,,,,,,,,,
12,114,Austin Ekeler,RB,WAS,Joe,,,,,,,,,,,,,,,,
12,115,Darnell Mooney,WR,ATL,Witte,"""Is he even in the top 300?"" Stefan ""Darnell Mooney really is the worst pick of the draft."" Kyle ""I'm not even going to mark that off""",,,,,,,,,,,,,,,
12,116,Ezekiel Elliot,RB,DAL,Elbe,"Are you googling 'is chubba hubbard hurt'"" Kyle to Elbe? (Elbe laughs because its true); ""I'm going with Fatty Zeke himself"" Elbe ""The dusiest of the dust"" Stefan",,,,,,,,,,,,,,,
12,117,Jaleel McLaughlin,RB,DEN,Kyle,,,,,,,,,,,,,,,,
12,118,Zach Moss,RB,CIN,Colin,"""Do I do what I normally do?"" Colin to nobody; ""Is that a good pick"" Colin, looking for validation",,,,,,,,,,,,,,,
12,119,TJ Hockenson,TE,MIN,Josh,"""Desmond Riddler"" Stefan",,,,,,,,,,,,,,,
12,120,Bucky Irving,RB,TB,Josh,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
13,121,Ty Chandler,RB,MIN,Zach,"""That was a shitty pick"" Colin ""Alright Stefan, what you got, brotha"" Colin, using Brotha for the third or fourth time",,,,,,,,,,,,,,,
13,122,Chuba Hubbard,RB,CAR,Stefan,"""Has anyone taken Antonio Gibson?"" Stefan everyone: ""You figure it out"" ; ",,,,,,,,,,,,,,,
13,123,Gus Edwards,RB,LAC,Colin,"""Kyle, you still don't have a QB or a TE?"" Stefan ""Same as 5 rounds ago, yeah"" Kyle; ""Next thing you know Joe is trading Dalton Kincaid tomorrow"" Elbe ; ""Riding that broke dick train"" Joe to Colin",,,,,,,,,,,,,,,
13,124,Jordan Love,QB,GB,Kyle,"You bitch"" Joe ""Jordan Love in the 13th round is amazing value"" Kyle ""He plays QB and TE"" Greg ""Taysum Hill?"" Stefan ""That is a good idea now that you mention it"" Kyle ""That might have  been the best pick of the draft"" Kyle….""Austin Ekeler is jaming his tiny dick down everyones holes"" Joe ",,,,,,,,,,,,,,,
13,125,Michael Wilson,WR,ARI,Elbe,"""How about Jordan Walker today"" Kyle ""He just needs to go down and learn to lift the ball!"" Stefan",,,,,,,,,,,,,,,
13,126,Joshua Palmer,WR,LAC,Witte,,,,,,,,,,,,,,,,
13,127,Tyler Lockett,WR,SEA,Joe,,,,,,,,,,,,,,,,
13,128,Puka Nacua,WR,LAR,Scott,[Talk about white receivers],,,,,,,,,,,,,,,
13,129,NYJ Defenese,DEF,NYJ,Greg,"""AWWWW He started it"" Elbe in reference to the defenses; ",,,,,,,,,,,,,,,
13,130,Jordan Mason,RB,SF,Stefan,,,,,,,,,,,,,,,,
14,131,Xavier Legette,WR,CAR,Stefan,[Stefan can't find Legette; Colin asks Greg if he should take a shot] ,,,,,,,,,,,,,,,
14,132,Jaylen Wright,RB,MIA,Greg,,,,,,,,,,,,,,,,
14,133,Ray Davis,RB,BUF,Scott,"[TE Talk] ""Youre TE is going to be Dalton Schlutz"" Stefan ""Sick Offense"" kyle",,,,,,,,,,,,,,,
14,134,Rashid Shaheed,WR,NO,Joe,"""gimmmmeeee…..Rasheeeeed Sha..fuckin…heed"" Joe; ""These guys are getting dropped"" Greg",,,,,,,,,,,,,,,
14,135,Tyler AlLgeier,RB,ATL,Witte,"""We're too drunk to be making good decisions"" Joe; ""You really can't be ridiculed for these picls now"" Kyle",,,,,,,,,,,,,,,
14,136,Cleveland Browns DEF,DEF,CLE,Elbe,"""Do we get to make fun of that?"" Elbe ""Tyler Algeirer from Belleville West?"" Greg ""Didn't he get stabbed at Fishers on NYE?""  Kyle ""Is he from Belleville?"" Colin",,,,,,,,,,,,,,,
14,137,David Njoku,TE,CLE,Kyle,"""I don't care who you are that's good value"" Kyle",,,,,,,,,,,,,,,
14,138,Curtis Smauel,WR,BUF,Colin,"""Fuck dude I don’t know"" Colin ""Just pick somebody"" Kyle ""Youre going to drop this guy tomorrow"" Stefan; [Joe thinks he's screwed because Allen only throws to white guys]",,,,,,,,,,,,,,,
14,139,San Francisco DEF,DEF,SF,Josh,,,,,,,,,,,,,,,,
14,140,Jakobi Meyers,WR,LAV,Elbe,"""Oh fuck I'll take a try on this"" Elbe",,,,,,,,,,,,,,,
15,141,Caleb Williams,QB,CHI,Kyle,"""Zesty boy…Caleb Williams"" Kyle ""Love and Williams…you have two of the fruitiest QBs in the league"" Joe ""Did you ever watch tom brady?"" KYle",,,,,,,,,,,,,,,
15,142,Dak Prescott,QB,DAL,Greg,"""I'll take Dak"" Greg ""Merts doesn't have #1 QB room in the league now"" Elbe",,,,,,,,,,,,,,,
15,143,Antonio Gibson,RB,NE,Colin,"""Is Antonio Gibson still available?"" Colin [Stefan gets up to get the UV Blue but he was available]",,,,,,,,,,,,,,,
15,144,Jerry Jeudy,WR,CLE,Kyle,"""You're really going to blow this draft if you don't take Purdy or Taysum Hill"" Stefan to Kyle",,,,,,,,,,,,,,,
15,145,Adam Thielein,WR,CAR,Elbe,"""Although Bryce Love can't throw it more than 10 yards"" Elbe",,,,,,,,,,,,,,,
15,146,Romeo Doubs,WR,GB,Witte,"""I got two broke dicks…that's my team name"" Colin",,,,,,,,,,,,,,,
15,147,Baltimore Ravens DEF,DEF,BAL,Joe,,,,,,,,,,,,,,,,
